# N(1) T(2) E0(3) E1(4) E2(5) E3(6)
1000 0.159119000000 1.086789776872 3.072889751861 4.809044787148 6.295265240501
3500 0.558726000000 1.086789754051 3.072889443387 4.809043798041 6.295263353732
6000 0.956713000000 1.086789753915 3.072889441554 4.809043792161 6.295263342509
8500 1.359482000000 1.086789753902 3.072889441374 4.809043791582 6.295263341404
11000 1.755717000000 1.086789753899 3.072889441336 4.809043791459 6.295263341169
13500 2.155504000000 1.086789753898 3.072889441324 4.809043791420 6.295263341096
16000 2.562845000000 1.086789753898 3.072889441319 4.809043791406 6.295263341068
18500 2.960410000000 1.086789753898 3.072889441317 4.809043791399 6.295263341055
21000 3.363379000000 1.086789753897 3.072889441316 4.809043791396 6.295263341049
23500 3.760817000000 1.086789753897 3.072889441315 4.809043791394 6.295263341045
26000 4.162467000000 1.086789753897 3.072889441315 4.809043791393 6.295263341043
28500 4.598092000000 1.086789753897 3.072889441315 4.809043791392 6.295263341042
31000 4.968668000000 1.086789753897 3.072889441315 4.809043791391 6.295263341041
33500 5.364185000000 1.086789753897 3.072889441315 4.809043791391 6.295263341040
36000 5.767562000000 1.086789753897 3.072889441315 4.809043791391 6.295263341040
38500 6.178586000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
41000 6.581815000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
43500 6.982177000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
46000 7.397770000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
48500 7.781980000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
51000 8.187600000000 1.086789753897 3.072889441315 4.809043791391 6.295263341039
53500 8.647510000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
56000 8.991965000000 1.086789753897 3.072889441315 4.809043791391 6.295263341039
58500 9.394569000000 1.086789753897 3.072889441315 4.809043791391 6.295263341039
61000 9.806161000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
63500 10.194333000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
66000 10.614468000000 1.086789753897 3.072889441314 4.809043791390 6.295263341038
68500 11.003732000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
71000 11.407545000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
73500 11.779569000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
76000 12.190600000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
78500 12.588093000000 1.086789753897 3.072889441315 4.809043791391 6.295263341039
81000 12.979727000000 1.086789753897 3.072889441314 4.809043791390 6.295263341038
83500 13.393522000000 1.086789753897 3.072889441314 4.809043791391 6.295263341039
86000 13.894209000000 1.086789753897 3.072889441314 4.809043791390 6.295263341038
88500 14.166069000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
91000 14.550497000000 1.086789753897 3.072889441315 4.809043791391 6.295263341039
93500 14.948411000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
96000 15.308000000000 1.086789753897 3.072889441315 4.809043791391 6.295263341039
98500 15.915606000000 1.086789753897 3.072889441314 4.809043791390 6.295263341039
