# N(1) T(2) E0(3) E1(4) E2(5) E3(6)
20 0.018367000000 1.184577944365 3.134105085721 4.333573042545 6.734996827118
40 0.039133000000 1.086789265108 3.073507199418 4.810501725966 6.291043338103
60 0.080996000000 1.086783989546 3.072851956792 4.808919828562 6.294987523882
80 0.128202000000 1.086783988750 3.072851966250 4.808919943750 6.294987921248
100 0.221541000000 1.086783988750 3.072851966250 4.808919943750 6.294987921250
120 0.665929000000 1.086783988750 3.072851966250 4.808919943750 6.294987921250
140 0.750989000000 1.086783988750 3.072851966250 4.808919943750 6.294987921250
160 0.749449000000 1.086783988750 3.072851966250 4.808919943750 6.294987921250
180 0.770251000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
200 1.442593000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
220 1.402457000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
240 1.148833000000 1.086783988750 3.072851966250 4.808919943750 6.294987921250
260 2.988773000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
280 2.604665000000 1.086783988750 3.072851966249 4.808919943749 6.294987921249
300 2.994874000000 1.086783988750 3.072851966250 4.808919943749 6.294987921250
320 2.277956000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
340 3.481031000000 1.086783988749 3.072851966250 4.808919943750 6.294987921249
360 3.310205000000 1.086783988751 3.072851966249 4.808919943750 6.294987921249
380 3.369226000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
400 5.751080000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
420 4.480744000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
440 5.011667000000 1.086783988751 3.072851966250 4.808919943750 6.294987921250
460 7.395310000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
480 3.618049000000 1.086783988750 3.072851966249 4.808919943750 6.294987921249
500 5.823446000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
520 3.455986000000 1.086783988751 3.072851966250 4.808919943750 6.294987921250
540 8.086327000000 1.086783988750 3.072851966251 4.808919943749 6.294987921249
560 4.105257000000 1.086783988749 3.072851966250 4.808919943749 6.294987921249
580 5.409705000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
600 4.165085000000 1.086783988749 3.072851966251 4.808919943750 6.294987921249
620 10.137980000000 1.086783988748 3.072851966249 4.808919943749 6.294987921250
640 4.492397000000 1.086783988750 3.072851966251 4.808919943750 6.294987921249
660 5.884270000000 1.086783988750 3.072851966248 4.808919943749 6.294987921249
680 7.109530000000 1.086783988750 3.072851966248 4.808919943750 6.294987921250
700 24.635568000000 1.086783988752 3.072851966250 4.808919943749 6.294987921250
720 6.516883000000 1.086783988752 3.072851966247 4.808919943749 6.294987921249
740 7.758973000000 1.086783988752 3.072851966250 4.808919943751 6.294987921250
760 6.130239000000 1.086783988750 3.072851966249 4.808919943750 6.294987921250
780 7.105236000000 1.086783988750 3.072851966250 4.808919943749 6.294987921250
800 14.179653000000 1.086783988748 3.072851966252 4.808919943750 6.294987921250
820 11.545962000000 1.086783988748 3.072851966249 4.808919943750 6.294987921250
840 9.360372000000 1.086783988751 3.072851966249 4.808919943748 6.294987921249
860 17.200195000000 1.086783988748 3.072851966251 4.808919943751 6.294987921250
880 17.000614000000 1.086783988748 3.072851966252 4.808919943750 6.294987921249
900 12.502773000000 1.086783988748 3.072851966250 4.808919943747 6.294987921250
920 10.660250000000 1.086783988748 3.072851966249 4.808919943747 6.294987921248
940 26.485185000000 1.086783988748 3.072851966250 4.808919943750 6.294987921249
960 9.817955000000 1.086783988750 3.072851966252 4.808919943748 6.294987921250
980 8.705539000000 1.086783988746 3.072851966246 4.808919943749 6.294987921248
1000 25.231328000000 1.086783988749 3.072851966247 4.808919943750 6.294987921248
