Version_Codigo,Bandera,Log2N,N,dt,Bloque_B,Tiempo_Total_Segundos,Tiempo_Iteracion_Seg
Original,-O0,11,2048,0.01,2048,.257513886,.000257
Original,-O0,11,2048,0.005,2048,.268988928,.000268
Original,-O0,11,2048,0.001,2048,.298148912,.000298
Original,-O0,11,2048,0.0005,2048,.259365330,.000259
Original,-O0,12,4096,0.01,4096,.582586786,.000582
Original,-O0,12,4096,0.005,4096,.613817161,.000613
Original,-O0,12,4096,0.001,4096,.539001285,.000539
Original,-O0,12,4096,0.0005,4096,.576549625,.000576
Original,-O0,13,8192,0.01,8192,1.121051572,.001121
Original,-O0,13,8192,0.005,8192,1.195589520,.001195
Original,-O0,13,8192,0.001,8192,1.116346769,.001116
Original,-O0,13,8192,0.0005,8192,1.130920590,.001130
Original,-O0,14,16384,0.01,16384,2.382137509,.002382
Original,-O0,14,16384,0.005,16384,2.587981964,.002587
Original,-O0,14,16384,0.001,16384,2.391554434,.002391
Original,-O0,14,16384,0.0005,16384,2.593396143,.002593
Original,-O0,15,32768,0.01,32768,5.104516928,.005104
Original,-O0,15,32768,0.005,32768,5.463398262,.005463
Original,-O0,15,32768,0.001,32768,5.300939608,.005300
Original,-O0,15,32768,0.0005,32768,5.136687077,.005136
Original,-O1,11,2048,0.01,2048,.081486345,.000081
Original,-O1,11,2048,0.005,2048,.084292426,.000084
Original,-O1,11,2048,0.001,2048,.080802434,.000080
Original,-O1,11,2048,0.0005,2048,.107035707,.000107
Original,-O1,12,4096,0.01,4096,.322773365,.000322
Original,-O1,12,4096,0.005,4096,.317656674,.000317
Original,-O1,12,4096,0.001,4096,.322019059,.000322
Original,-O1,12,4096,0.0005,4096,.321624357,.000321
Original,-O1,13,8192,0.01,8192,.963214174,.000963
Original,-O1,13,8192,0.005,8192,.962139129,.000962
Original,-O1,13,8192,0.001,8192,1.093328492,.001093
Original,-O1,13,8192,0.0005,8192,.888575265,.000888
Original,-O1,14,16384,0.01,16384,2.254268146,.002254
Original,-O1,14,16384,0.005,16384,1.703499764,.001703
Original,-O1,14,16384,0.001,16384,1.838611307,.001838
Original,-O1,14,16384,0.0005,16384,1.770118987,.001770
Original,-O1,15,32768,0.01,32768,5.876296225,.005876
Original,-O1,15,32768,0.005,32768,6.267593320,.006267
Original,-O1,15,32768,0.001,32768,6.233672176,.006233
Original,-O1,15,32768,0.0005,32768,6.233448292,.006233
Original,-O2,11,2048,0.01,2048,.076844222,.000076
Original,-O2,11,2048,0.005,2048,.077572979,.000077
Original,-O2,11,2048,0.001,2048,.079274618,.000079
Original,-O2,11,2048,0.0005,2048,.079082352,.000079
Original,-O2,12,4096,0.01,4096,.320292102,.000320
Original,-O2,12,4096,0.005,4096,.317757417,.000317
Original,-O2,12,4096,0.001,4096,.315596714,.000315
Original,-O2,12,4096,0.0005,4096,.319509072,.000319
Original,-O2,13,8192,0.01,8192,.979852176,.000979
Original,-O2,13,8192,0.005,8192,.976207920,.000976
Original,-O2,13,8192,0.001,8192,.976385329,.000976
Original,-O2,13,8192,0.0005,8192,.982662318,.000982
Original,-O2,14,16384,0.01,16384,2.554648421,.002554
Original,-O2,14,16384,0.005,16384,2.567214967,.002567
Original,-O2,14,16384,0.001,16384,2.576018500,.002576
Original,-O2,14,16384,0.0005,16384,2.571733689,.002571
Original,-O2,15,32768,0.01,32768,6.549740150,.006549
Original,-O2,15,32768,0.005,32768,6.390359542,.006390
Original,-O2,15,32768,0.001,32768,6.529685823,.006529
Original,-O2,15,32768,0.0005,32768,6.396491980,.006396
Original,-O3,11,2048,0.01,2048,.073036596,.000073
Original,-O3,11,2048,0.005,2048,.070305919,.000070
Original,-O3,11,2048,0.001,2048,.074980587,.000074
Original,-O3,11,2048,0.0005,2048,.070819556,.000070
Original,-O3,12,4096,0.01,4096,.332005048,.000332
Original,-O3,12,4096,0.005,4096,.333362542,.000333
Original,-O3,12,4096,0.001,4096,.333560910,.000333
Original,-O3,12,4096,0.0005,4096,.333390596,.000333
Original,-O3,13,8192,0.01,8192,1.171123498,.001171
Original,-O3,13,8192,0.005,8192,1.174354519,.001174
Original,-O3,13,8192,0.001,8192,1.177170701,.001177
Original,-O3,13,8192,0.0005,8192,1.161241090,.001161
Original,-O3,14,16384,0.01,16384,3.460801725,.003460
Original,-O3,14,16384,0.005,16384,3.303235622,.003303
Original,-O3,14,16384,0.001,16384,4.135042371,.004135
Original,-O3,14,16384,0.0005,16384,4.484518194,.004484
Original,-O3,15,32768,0.01,32768,11.688382557,.011688
Original,-O3,15,32768,0.005,32768,9.007428781,.009007
Original,-O3,15,32768,0.001,32768,8.901769591,.008901
Original,-O3,15,32768,0.0005,32768,8.639285661,.008639
Optimizado,-O0,11,2048,0.01,64,.323019218,.000323
Optimizado,-O0,11,2048,0.01,256,.313332107,.000313
Optimizado,-O0,11,2048,0.01,1024,.306874766,.000306
Optimizado,-O0,11,2048,0.01,4096,.320339396,.000320
Optimizado,-O0,11,2048,0.01,16384,.320694092,.000320
Optimizado,-O0,11,2048,0.005,64,.333074249,.000333
Optimizado,-O0,11,2048,0.005,256,.295528488,.000295
Optimizado,-O0,11,2048,0.005,1024,.316379589,.000316
Optimizado,-O0,11,2048,0.005,4096,.323592880,.000323
Optimizado,-O0,11,2048,0.005,16384,.285451817,.000285
Optimizado,-O0,11,2048,0.001,64,.281405905,.000281
Optimizado,-O0,11,2048,0.001,256,.329660921,.000329
Optimizado,-O0,11,2048,0.001,1024,.337395074,.000337
Optimizado,-O0,11,2048,0.001,4096,.314686136,.000314
Optimizado,-O0,11,2048,0.001,16384,.278296025,.000278
Optimizado,-O0,11,2048,0.0005,64,.327611500,.000327
Optimizado,-O0,11,2048,0.0005,256,.286615191,.000286
Optimizado,-O0,11,2048,0.0005,1024,.308192525,.000308
Optimizado,-O0,11,2048,0.0005,4096,.322875765,.000322
Optimizado,-O0,11,2048,0.0005,16384,.317406365,.000317
Optimizado,-O0,12,4096,0.01,64,.675888359,.000675
Optimizado,-O0,12,4096,0.01,256,.709007114,.000709
Optimizado,-O0,12,4096,0.01,1024,.619926403,.000619
Optimizado,-O0,12,4096,0.01,4096,.678085492,.000678
Optimizado,-O0,12,4096,0.01,16384,.600345300,.000600
Optimizado,-O0,12,4096,0.005,64,.685569099,.000685
Optimizado,-O0,12,4096,0.005,256,.624590372,.000624
Optimizado,-O0,12,4096,0.005,1024,.652175372,.000652
Optimizado,-O0,12,4096,0.005,4096,.683371727,.000683
Optimizado,-O0,12,4096,0.005,16384,.606875521,.000606
Optimizado,-O0,12,4096,0.001,64,.695383072,.000695
Optimizado,-O0,12,4096,0.001,256,.620120354,.000620
Optimizado,-O0,12,4096,0.001,1024,.603307851,.000603
Optimizado,-O0,12,4096,0.001,4096,.686385626,.000686
Optimizado,-O0,12,4096,0.001,16384,.691913669,.000691
Optimizado,-O0,12,4096,0.0005,64,.632785114,.000632
Optimizado,-O0,12,4096,0.0005,256,.646208676,.000646
Optimizado,-O0,12,4096,0.0005,1024,.678545723,.000678
Optimizado,-O0,12,4096,0.0005,4096,.659299857,.000659
Optimizado,-O0,12,4096,0.0005,16384,.714125132,.000714
Optimizado,-O0,13,8192,0.01,64,1.419737891,.001419
Optimizado,-O0,13,8192,0.01,256,1.247294502,.001247
Optimizado,-O0,13,8192,0.01,1024,1.228274697,.001228
Optimizado,-O0,13,8192,0.01,4096,1.211879138,.001211
Optimizado,-O0,13,8192,0.01,16384,1.405015611,.001405
Optimizado,-O0,13,8192,0.005,64,1.376895222,.001376
Optimizado,-O0,13,8192,0.005,256,1.424987070,.001424
Optimizado,-O0,13,8192,0.005,1024,1.403960085,.001403
Optimizado,-O0,13,8192,0.005,4096,1.422104044,.001422
Optimizado,-O0,13,8192,0.005,16384,1.400342902,.001400
Optimizado,-O0,13,8192,0.001,64,1.385677757,.001385
Optimizado,-O0,13,8192,0.001,256,1.248959993,.001248
Optimizado,-O0,13,8192,0.001,1024,1.255277361,.001255
Optimizado,-O0,13,8192,0.001,4096,1.395786904,.001395
Optimizado,-O0,13,8192,0.001,16384,1.228482346,.001228
Optimizado,-O0,13,8192,0.0005,64,1.409899390,.001409
Optimizado,-O0,13,8192,0.0005,256,1.398974676,.001398
Optimizado,-O0,13,8192,0.0005,1024,1.390359978,.001390
Optimizado,-O0,13,8192,0.0005,4096,1.220301036,.001220
Optimizado,-O0,13,8192,0.0005,16384,1.219000040,.001219
Optimizado,-O0,14,16384,0.01,64,3.050097210,.003050
Optimizado,-O0,14,16384,0.01,256,2.620658246,.002620
Optimizado,-O0,14,16384,0.01,1024,2.622835746,.002622
Optimizado,-O0,14,16384,0.01,4096,2.938477356,.002938
Optimizado,-O0,14,16384,0.01,16384,2.606400148,.002606
Optimizado,-O0,14,16384,0.005,64,2.909916066,.002909
Optimizado,-O0,14,16384,0.005,256,2.979473260,.002979
Optimizado,-O0,14,16384,0.005,1024,2.956768435,.002956
Optimizado,-O0,14,16384,0.005,4096,2.595463867,.002595
Optimizado,-O0,14,16384,0.005,16384,2.614267227,.002614
Optimizado,-O0,14,16384,0.001,64,2.993985977,.002993
Optimizado,-O0,14,16384,0.001,256,2.613795015,.002613
Optimizado,-O0,14,16384,0.001,1024,2.599523001,.002599
Optimizado,-O0,14,16384,0.001,4096,2.902031315,.002902
Optimizado,-O0,14,16384,0.001,16384,2.616483937,.002616
Optimizado,-O0,14,16384,0.0005,64,2.636409091,.002636
Optimizado,-O0,14,16384,0.0005,256,2.632844018,.002632
Optimizado,-O0,14,16384,0.0005,1024,3.015920736,.003015
Optimizado,-O0,14,16384,0.0005,4096,2.619762694,.002619
Optimizado,-O0,14,16384,0.0005,16384,3.001558015,.003001
Optimizado,-O0,15,32768,0.01,64,5.521220183,.005521
Optimizado,-O0,15,32768,0.01,256,6.303360358,.006303
Optimizado,-O0,15,32768,0.01,1024,5.525392120,.005525
Optimizado,-O0,15,32768,0.01,4096,6.262982805,.006262
Optimizado,-O0,15,32768,0.01,16384,6.248837959,.006248
Optimizado,-O0,15,32768,0.005,64,6.324486738,.006324
Optimizado,-O0,15,32768,0.005,256,6.489104043,.006489
Optimizado,-O0,15,32768,0.005,1024,6.468310671,.006468
Optimizado,-O0,15,32768,0.005,4096,6.454819971,.006454
Optimizado,-O0,15,32768,0.005,16384,6.328166557,.006328
Optimizado,-O0,15,32768,0.001,64,6.428204736,.006428
Optimizado,-O0,15,32768,0.001,256,6.471470289,.006471
Optimizado,-O0,15,32768,0.001,1024,6.212387422,.006212
Optimizado,-O0,15,32768,0.001,4096,6.441839601,.006441
Optimizado,-O0,15,32768,0.001,16384,6.388446439,.006388
Optimizado,-O0,15,32768,0.0005,64,6.390149149,.006390
Optimizado,-O0,15,32768,0.0005,256,5.707729709,.005707
Optimizado,-O0,15,32768,0.0005,1024,6.320096797,.006320
Optimizado,-O0,15,32768,0.0005,4096,5.493347904,.005493
Optimizado,-O0,15,32768,0.0005,16384,7.085775024,.007085
