Version_Codigo,Bandera,Log2N,N,dt,Bloque_B,Tiempo_Total_Segundos,Tiempo_Iteracion_Seg
Optimizado,-O0,11,2048,0.01,64,.296576569,.000296
Optimizado,-O0,11,2048,0.01,128,.281246766,.000281
Optimizado,-O0,11,2048,0.01,256,.282602537,.000282
Optimizado,-O0,11,2048,0.01,512,.319090620,.000319
Optimizado,-O0,11,2048,0.01,1024,.314446588,.000314
Optimizado,-O0,11,2048,0.01,2048,.308710729,.000308
Optimizado,-O0,11,2048,0.01,4096,.335470552,.000335
Optimizado,-O0,11,2048,0.01,8192,.338161245,.000338
Optimizado,-O0,11,2048,0.01,16384,.309542893,.000309
Optimizado,-O0,11,2048,0.01,32768,.317417435,.000317
Optimizado,-O0,11,2048,0.005,64,.297977337,.000297
Optimizado,-O0,11,2048,0.005,128,.328390765,.000328
Optimizado,-O0,11,2048,0.005,256,.285890568,.000285
Optimizado,-O0,11,2048,0.005,512,.315289775,.000315
Optimizado,-O0,11,2048,0.005,1024,.288990510,.000288
Optimizado,-O0,11,2048,0.005,2048,.295320430,.000295
Optimizado,-O0,11,2048,0.005,4096,.321408333,.000321
Optimizado,-O0,11,2048,0.005,8192,.285202358,.000285
Optimizado,-O0,11,2048,0.005,16384,.287805895,.000287
Optimizado,-O0,11,2048,0.005,32768,.360415301,.000360
Optimizado,-O0,11,2048,0.001,64,.307848781,.000307
Optimizado,-O0,11,2048,0.001,128,.335442220,.000335
Optimizado,-O0,11,2048,0.001,256,.347890549,.000347
Optimizado,-O0,11,2048,0.001,512,.304276691,.000304
Optimizado,-O0,11,2048,0.001,1024,.321780162,.000321
Optimizado,-O0,11,2048,0.001,2048,.343976097,.000343
Optimizado,-O0,11,2048,0.001,4096,.346359435,.000346
Optimizado,-O0,11,2048,0.001,8192,.278633655,.000278
Optimizado,-O0,11,2048,0.001,16384,.289200982,.000289
Optimizado,-O0,11,2048,0.001,32768,.280569160,.000280
Optimizado,-O0,11,2048,0.0005,64,.288644232,.000288
Optimizado,-O0,11,2048,0.0005,128,.281512667,.000281
Optimizado,-O0,11,2048,0.0005,256,.291730639,.000291
Optimizado,-O0,11,2048,0.0005,512,.326626971,.000326
Optimizado,-O0,11,2048,0.0005,1024,.339979370,.000339
Optimizado,-O0,11,2048,0.0005,2048,.271503442,.000271
Optimizado,-O0,11,2048,0.0005,4096,.332366938,.000332
Optimizado,-O0,11,2048,0.0005,8192,.330107117,.000330
Optimizado,-O0,11,2048,0.0005,16384,.295510175,.000295
Optimizado,-O0,11,2048,0.0005,32768,.300980940,.000300
Optimizado,-O0,12,4096,0.01,64,.599433186,.000599
Optimizado,-O0,12,4096,0.01,128,.666555247,.000666
Optimizado,-O0,12,4096,0.01,256,.714802527,.000714
Optimizado,-O0,12,4096,0.01,512,.658388651,.000658
Optimizado,-O0,12,4096,0.01,1024,.671068771,.000671
Optimizado,-O0,12,4096,0.01,2048,.599153065,.000599
Optimizado,-O0,12,4096,0.01,4096,.608357388,.000608
Optimizado,-O0,12,4096,0.01,8192,.573200981,.000573
Optimizado,-O0,12,4096,0.01,16384,.664854805,.000664
Optimizado,-O0,12,4096,0.01,32768,.597766268,.000597
Optimizado,-O0,12,4096,0.005,64,.603038455,.000603
Optimizado,-O0,12,4096,0.005,128,.703042355,.000703
Optimizado,-O0,12,4096,0.005,256,.598396850,.000598
Optimizado,-O0,12,4096,0.005,512,.721116234,.000721
Optimizado,-O0,12,4096,0.005,1024,.661276446,.000661
Optimizado,-O0,12,4096,0.005,2048,.717108635,.000717
Optimizado,-O0,12,4096,0.005,4096,.654181651,.000654
Optimizado,-O0,12,4096,0.005,8192,.601918948,.000601
Optimizado,-O0,12,4096,0.005,16384,.589380549,.000589
Optimizado,-O0,12,4096,0.005,32768,.660897558,.000660
Optimizado,-O0,12,4096,0.001,64,.707508193,.000707
Optimizado,-O0,12,4096,0.001,128,.662776416,.000662
Optimizado,-O0,12,4096,0.001,256,.709619594,.000709
Optimizado,-O0,12,4096,0.001,512,.609658446,.000609
Optimizado,-O0,12,4096,0.001,1024,.699563812,.000699
Optimizado,-O0,12,4096,0.001,2048,.573763012,.000573
Optimizado,-O0,12,4096,0.001,4096,.598990779,.000598
Optimizado,-O0,12,4096,0.001,8192,.657316707,.000657
Optimizado,-O0,12,4096,0.001,16384,.685864885,.000685
Optimizado,-O0,12,4096,0.001,32768,.715727998,.000715
Optimizado,-O0,12,4096,0.0005,64,.615503196,.000615
Optimizado,-O0,12,4096,0.0005,128,.701595815,.000701
Optimizado,-O0,12,4096,0.0005,256,.616564708,.000616
Optimizado,-O0,12,4096,0.0005,512,.699047355,.000699
Optimizado,-O0,12,4096,0.0005,1024,.662120646,.000662
Optimizado,-O0,12,4096,0.0005,2048,.592322078,.000592
Optimizado,-O0,12,4096,0.0005,4096,.577089300,.000577
Optimizado,-O0,12,4096,0.0005,8192,.699552770,.000699
Optimizado,-O0,12,4096,0.0005,16384,.694501755,.000694
Optimizado,-O0,12,4096,0.0005,32768,.659326330,.000659
Optimizado,-O0,13,8192,0.01,64,1.447143015,.001447
Optimizado,-O0,13,8192,0.01,128,1.252071581,.001252
Optimizado,-O0,13,8192,0.01,256,1.426254525,.001426
Optimizado,-O0,13,8192,0.01,512,1.476712458,.001476
Optimizado,-O0,13,8192,0.01,1024,1.459599231,.001459
Optimizado,-O0,13,8192,0.01,2048,1.550878509,.001550
Optimizado,-O0,13,8192,0.01,4096,1.244547310,.001244
Optimizado,-O0,13,8192,0.01,8192,1.452045060,.001452
Optimizado,-O0,13,8192,0.01,16384,1.540244403,.001540
Optimizado,-O0,13,8192,0.01,32768,1.415162469,.001415
Optimizado,-O0,13,8192,0.005,64,1.454024366,.001454
Optimizado,-O0,13,8192,0.005,128,1.466514347,.001466
Optimizado,-O0,13,8192,0.005,256,1.439682589,.001439
Optimizado,-O0,13,8192,0.005,512,1.240616424,.001240
Optimizado,-O0,13,8192,0.005,1024,1.260289861,.001260
Optimizado,-O0,13,8192,0.005,2048,1.422673706,.001422
Optimizado,-O0,13,8192,0.005,4096,1.400149188,.001400
Optimizado,-O0,13,8192,0.005,8192,1.421385799,.001421
Optimizado,-O0,13,8192,0.005,16384,1.440831213,.001440
Optimizado,-O0,13,8192,0.005,32768,1.470840086,.001470
Optimizado,-O0,13,8192,0.001,64,1.439876501,.001439
Optimizado,-O0,13,8192,0.001,128,1.243040840,.001243
Optimizado,-O0,13,8192,0.001,256,1.231707706,.001231
Optimizado,-O0,13,8192,0.001,512,1.409964152,.001409
