Version_Codigo,Bandera,Log2N,N,dt,Tiempo_Total_Segundos,Tiempo_Iteracion_Seg
Original,-O0,11,2048,0.01,.041763522,.000041
Original,-O0,11,2048,0.005,.041478980,.000041
Original,-O0,11,2048,0.001,.043131097,.000043
Original,-O0,12,4096,0.01,.079306678,.000079
Original,-O0,12,4096,0.005,.079345372,.000079
Original,-O0,12,4096,0.001,.078310261,.000078
Original,-O0,13,8192,0.01,.154995737,.000154
Original,-O0,13,8192,0.005,.149634658,.000149
Original,-O0,13,8192,0.001,.155041184,.000155
Original,-O0,14,16384,0.01,.300079248,.000300
Original,-O0,14,16384,0.005,.301359897,.000301
Original,-O0,14,16384,0.001,.301168623,.000301
Original,-O0,15,32768,0.01,.600054258,.000600
Original,-O0,15,32768,0.005,.590628427,.000590
Original,-O0,15,32768,0.001,.602590237,.000602
Original,-O1,11,2048,0.01,.025621021,.000025
Original,-O1,11,2048,0.005,.028213008,.000028
Original,-O1,11,2048,0.001,.025647452,.000025
Original,-O1,12,4096,0.01,.048999793,.000048
Original,-O1,12,4096,0.005,.048567019,.000048
Original,-O1,12,4096,0.001,.048609971,.000048
Original,-O1,13,8192,0.01,.091616981,.000091
Original,-O1,13,8192,0.005,.092085123,.000092
Original,-O1,13,8192,0.001,.092759307,.000092
Original,-O1,14,16384,0.01,.178513083,.000178
Original,-O1,14,16384,0.005,.180891151,.000180
Original,-O1,14,16384,0.001,.180697593,.000180
Original,-O1,15,32768,0.01,.357110115,.000357
Original,-O1,15,32768,0.005,.353120368,.000353
Original,-O1,15,32768,0.001,.354256010,.000354
Original,-O2,11,2048,0.01,.026182802,.000026
Original,-O2,11,2048,0.005,.026797623,.000026
Original,-O2,11,2048,0.001,.026326615,.000026
Original,-O2,12,4096,0.01,.048586315,.000048
Original,-O2,12,4096,0.005,.047991082,.000047
Original,-O2,12,4096,0.001,.048344305,.000048
Original,-O2,13,8192,0.01,.091367747,.000091
Original,-O2,13,8192,0.005,.090913963,.000090
Original,-O2,13,8192,0.001,.091990693,.000091
Original,-O2,14,16384,0.01,.181400452,.000181
Original,-O2,14,16384,0.005,.181149683,.000181
Original,-O2,14,16384,0.001,.179871880,.000179
Original,-O2,15,32768,0.01,.356152472,.000356
Original,-O2,15,32768,0.005,.356745150,.000356
Original,-O2,15,32768,0.001,.361653538,.000361
Original,-O3,11,2048,0.01,.025762612,.000025
Original,-O3,11,2048,0.005,.025357159,.000025
Original,-O3,11,2048,0.001,.024625927,.000024
Original,-O3,12,4096,0.01,.047646296,.000047
Original,-O3,12,4096,0.005,.046077387,.000046
Original,-O3,12,4096,0.001,.046196464,.000046
