Version_Codigo,Bandera,Log2N,N,dt,Bloque_B,Tiempo_Total_Segundos,Tiempo_Iteracion_Seg
Original,-O0,11,2048,0.01,2048,1.562616840,.001562
Original,-O0,11,2048,0.005,2048,1.639399401,.001639
Original,-O0,11,2048,0.001,2048,1.661128598,.001661
Original,-O0,12,4096,0.01,4096,3.090931647,.003090
Original,-O0,12,4096,0.005,4096,3.229507691,.003229
Original,-O0,12,4096,0.001,4096,3.177927892,.003177
Original,-O0,13,8192,0.01,8192,6.230871529,.006230
Original,-O0,13,8192,0.005,8192,6.270675527,.006270
Original,-O0,13,8192,0.001,8192,6.352925533,.006352
Original,-O0,14,16384,0.01,16384,12.574394091,.012574
Original,-O0,14,16384,0.005,16384,12.547733033,.012547
Original,-O0,14,16384,0.001,16384,12.478675829,.012478
Original,-O0,15,32768,0.01,32768,26.268012869,.026268
Original,-O0,15,32768,0.005,32768,25.923414845,.025923
Original,-O0,15,32768,0.001,32768,29.579889469,.029579
Original,-O1,11,2048,0.01,2048,.681186439,.000681
Original,-O1,11,2048,0.005,2048,.736426935,.000736
Original,-O1,11,2048,0.001,2048,.705524148,.000705
Original,-O1,12,4096,0.01,4096,1.357733812,.001357
Original,-O1,12,4096,0.005,4096,1.366730113,.001366
Original,-O1,12,4096,0.001,4096,1.349476789,.001349
Original,-O1,13,8192,0.01,8192,2.718620475,.002718
Original,-O1,13,8192,0.005,8192,2.775732649,.002775
Original,-O1,13,8192,0.001,8192,2.794589352,.002794
Original,-O1,14,16384,0.01,16384,5.570953511,.005570
Original,-O1,14,16384,0.005,16384,5.542519556,.005542
Original,-O1,14,16384,0.001,16384,5.556452854,.005556
Original,-O1,15,32768,0.01,32768,11.125632905,.011125
Original,-O1,15,32768,0.005,32768,11.046835697,.011046
Original,-O1,15,32768,0.001,32768,11.259668456,.011259
Original,-O2,11,2048,0.01,2048,.656264516,.000656
Original,-O2,11,2048,0.005,2048,.662107092,.000662
Original,-O2,11,2048,0.001,2048,.658762913,.000658
Original,-O2,12,4096,0.01,4096,1.308322923,.001308
Original,-O2,12,4096,0.005,4096,1.301738687,.001301
Original,-O2,12,4096,0.001,4096,1.302220453,.001302
Original,-O2,13,8192,0.01,8192,2.613094926,.002613
Original,-O2,13,8192,0.005,8192,2.723792161,.002723
Original,-O2,13,8192,0.001,8192,2.663227373,.002663
Original,-O2,14,16384,0.01,16384,5.335355839,.005335
Original,-O2,14,16384,0.005,16384,5.517594076,.005517
Original,-O2,14,16384,0.001,16384,5.240575506,.005240
Original,-O2,15,32768,0.01,32768,10.711357848,.010711
Original,-O2,15,32768,0.005,32768,10.850504121,.010850
Original,-O2,15,32768,0.001,32768,10.483041033,.010483
Original,-O3,11,2048,0.01,2048,.671012996,.000671
Original,-O3,11,2048,0.005,2048,.653365358,.000653
Original,-O3,11,2048,0.001,2048,.655456427,.000655
Original,-O3,12,4096,0.01,4096,1.316348671,.001316
Original,-O3,12,4096,0.005,4096,1.380809066,.001380
Original,-O3,12,4096,0.001,4096,1.287578691,.001287
Original,-O3,13,8192,0.01,8192,2.591154624,.002591
Original,-O3,13,8192,0.005,8192,2.614515955,.002614
Original,-O3,13,8192,0.001,8192,2.612232822,.002612
Original,-O3,14,16384,0.01,16384,5.266605146,.005266
Original,-O3,14,16384,0.005,16384,5.199973905,.005199
Original,-O3,14,16384,0.001,16384,5.232741832,.005232
Original,-O3,15,32768,0.01,32768,10.504564892,.010504
Original,-O3,15,32768,0.005,32768,10.547649716,.010547
Original,-O3,15,32768,0.001,32768,10.446346906,.010446
Caché,-O0,11,2048,0.01,64,1.637913101,.001637
Caché,-O0,11,2048,0.01,128,1.690031982,.001690
Caché,-O0,11,2048,0.01,256,1.640261624,.001640
Caché,-O0,11,2048,0.01,512,1.638684538,.001638
Caché,-O0,11,2048,0.01,1024,1.632547422,.001632
Caché,-O0,11,2048,0.01,2048,1.631113630,.001631
Caché,-O0,11,2048,0.005,64,1.685114943,.001685
Caché,-O0,11,2048,0.005,128,1.655545136,.001655
Caché,-O0,11,2048,0.005,256,1.675899380,.001675
Caché,-O0,11,2048,0.005,512,1.681568119,.001681
Caché,-O0,11,2048,0.005,1024,1.625097480,.001625
Caché,-O0,11,2048,0.005,2048,1.633507174,.001633
Caché,-O0,11,2048,0.001,64,1.633883343,.001633
Caché,-O0,11,2048,0.001,128,1.645303331,.001645
Caché,-O0,11,2048,0.001,256,1.645293640,.001645
Caché,-O0,11,2048,0.001,512,1.648917733,.001648
Caché,-O0,11,2048,0.001,1024,1.631376032,.001631
Caché,-O0,11,2048,0.001,2048,1.638732684,.001638
Caché,-O0,12,4096,0.01,64,3.270260337,.003270
Caché,-O0,12,4096,0.01,128,3.268972987,.003268
Caché,-O0,12,4096,0.01,256,3.276947682,.003276
Caché,-O0,12,4096,0.01,512,3.445979133,.003445
Caché,-O0,12,4096,0.01,1024,3.251973385,.003251
Caché,-O0,12,4096,0.01,2048,3.242143233,.003242
Caché,-O0,12,4096,0.005,64,3.562231296,.003562
Caché,-O0,12,4096,0.005,128,3.268951852,.003268
Caché,-O0,12,4096,0.005,256,3.325203221,.003325
Caché,-O0,12,4096,0.005,512,3.267149712,.003267
Caché,-O0,12,4096,0.005,1024,3.468896630,.003468
Caché,-O0,12,4096,0.005,2048,3.247240546,.003247
Caché,-O0,12,4096,0.001,64,3.398429042,.003398
Caché,-O0,12,4096,0.001,128,3.352673364,.003352
Caché,-O0,12,4096,0.001,256,3.449509761,.003449
Caché,-O0,12,4096,0.001,512,3.353974888,.003353
Caché,-O0,12,4096,0.001,1024,3.261164679,.003261
Caché,-O0,12,4096,0.001,2048,3.249688215,.003249
Caché,-O0,13,8192,0.01,64,6.848885570,.006848
Caché,-O0,13,8192,0.01,128,6.595598554,.006595
Caché,-O0,13,8192,0.01,256,6.548458645,.006548
Caché,-O0,13,8192,0.01,512,6.801708067,.006801
Caché,-O0,13,8192,0.01,1024,6.904732285,.006904
Caché,-O0,13,8192,0.01,2048,6.591785939,.006591
Caché,-O0,13,8192,0.005,64,6.814155855,.006814
Caché,-O0,13,8192,0.005,128,6.753437258,.006753
Caché,-O0,13,8192,0.005,256,6.746468334,.006746
Caché,-O0,13,8192,0.005,512,6.532928974,.006532
Caché,-O0,13,8192,0.005,1024,6.559546944,.006559
Caché,-O0,13,8192,0.005,2048,6.574260492,.006574
Caché,-O0,13,8192,0.001,64,6.562479835,.006562
Caché,-O0,13,8192,0.001,128,6.720472653,.006720
Caché,-O0,13,8192,0.001,256,6.673779209,.006673
Caché,-O0,13,8192,0.001,512,6.546289484,.006546
Caché,-O0,13,8192,0.001,1024,6.553764496,.006553
Caché,-O0,13,8192,0.001,2048,6.567071973,.006567
Caché,-O0,14,16384,0.01,64,13.244309970,.013244
Caché,-O0,14,16384,0.01,128,13.369735152,.013369
Caché,-O0,14,16384,0.01,256,13.182122864,.013182
Caché,-O0,14,16384,0.01,512,13.269361664,.013269
Caché,-O0,14,16384,0.01,1024,13.271609833,.013271
Caché,-O0,14,16384,0.01,2048,13.031139657,.013031
Caché,-O0,14,16384,0.005,64,13.638544220,.013638
Caché,-O0,14,16384,0.005,128,13.458541289,.013458
Caché,-O0,14,16384,0.005,256,13.327092651,.013327
Caché,-O0,14,16384,0.005,512,13.253894932,.013253
Caché,-O0,14,16384,0.005,1024,13.218905918,.013218
Caché,-O0,14,16384,0.005,2048,13.059148092,.013059
